time,open,high,low,close,adj_close,volume
2022-08-16 20:45:00,0.70255,0.70255,0.70242,0.70249,0.70249,100
2022-08-16 21:00:00,0.7024,0.70264,0.70238,0.70251,0.70251,100
2022-08-16 21:15:00,0.70263,0.70263,0.70219,0.70236,0.70236,100
2022-08-16 21:30:00,0.70238,0.70274,0.70228,0.70267,0.70267,100
2022-08-16 21:45:00,0.70269,0.70282,0.70243,0.70269,0.70269,100
2022-08-16 22:00:00,0.70289,0.703,0.70223,0.70233,0.70233,100
2022-08-16 22:15:00,0.70233,0.70243,0.70214,0.7023,0.7023,100
2022-08-16 22:30:00,0.70231,0.70241,0.70208,0.70227,0.70227,100
2022-08-16 22:45:00,0.70227,0.70236,0.70213,0.70221,0.70221,100
2022-08-16 23:00:00,0.7022,0.70253,0.70217,0.70242,0.70242,100
2022-08-16 23:15:00,0.70239,0.70245,0.70193,0.70194,0.70194,100
2022-08-16 23:30:00,0.70197,0.70233,0.70196,0.70215,0.70215,100
2022-08-16 23:45:00,0.70216,0.70244,0.70197,0.70206,0.70206,100
2022-08-17 00:00:00,0.70202,0.70209,0.70159,0.70198,0.70198,100
2022-08-17 00:15:00,0.70194,0.70227,0.70158,0.7016,0.7016,100
2022-08-17 00:30:00,0.70154,0.70185,0.7013,0.70134,0.70134,100
2022-08-17 00:45:00,0.70131,0.70189,0.70129,0.70177,0.70177,100
2022-08-17 01:00:00,0.70176,0.70259,0.70162,0.70238,0.70238,100
2022-08-17 01:15:00,0.70242,0.70273,0.70196,0.7022,0.7022,100
2022-08-17 01:30:00,0.70226,0.70226,0.69882,0.69945,0.69945,100
2022-08-17 01:45:00,0.69943,0.70052,0.69925,0.70027,0.70027,100
2022-08-17 02:00:00,0.70029,0.70161,0.70006,0.70152,0.70152,100
2022-08-17 02:15:00,0.70152,0.70166,0.70054,0.70071,0.70071,100
2022-08-17 02:30:00,0.70072,0.70119,0.70044,0.70079,0.70079,100
2022-08-17 02:45:00,0.70082,0.70086,0.69938,0.69956,0.69956,100
2022-08-17 03:00:00,0.69958,0.70053,0.6992,0.70026,0.70026,100
2022-08-17 03:15:00,0.70025,0.70029,0.69911,0.69966,0.69966,100
2022-08-17 03:30:00,0.69966,0.70007,0.69959,0.70006,0.70006,100
2022-08-17 03:45:00,0.70008,0.70035,0.69987,0.7002,0.7002,100
2022-08-17 04:00:00,0.7002,0.70025,0.69954,0.69962,0.69962,100
2022-08-17 04:15:00,0.6996,0.70019,0.69926,0.70014,0.70014,100
2022-08-17 04:30:00,0.70018,0.70126,0.70009,0.70108,0.70108,100
2022-08-17 04:45:00,0.70109,0.7017,0.70093,0.70135,0.70135,100
2022-08-17 05:00:00,0.70135,0.70161,0.70114,0.70137,0.70137,100
2022-08-17 05:15:00,0.70138,0.70183,0.70121,0.70144,0.70144,100
2022-08-17 05:30:00,0.70144,0.70174,0.70126,0.70149,0.70149,100
2022-08-17 05:45:00,0.70145,0.70204,0.70137,0.70195,0.70195,100
2022-08-17 06:00:00,0.70193,0.70258,0.70064,0.70067,0.70067,100
