time,open,high,low,close,adj_close,volume
2022-08-16 21:00:00,134.27,134.289,134.249,134.249,134.249,100
2022-08-16 21:15:00,134.248,134.264,134.247,134.26,134.26,100
2022-08-16 21:30:00,134.262,134.275,134.256,134.271,134.271,100
2022-08-16 21:45:00,134.266,134.267,134.253,134.262,134.262,100
2022-08-16 22:00:00,134.258,134.309,134.238,134.258,134.258,100
2022-08-16 22:15:00,134.256,134.277,134.237,134.275,134.275,100
2022-08-16 22:30:00,134.266,134.315,134.236,134.314,134.314,100
2022-08-16 22:45:00,134.306,134.317,134.28,134.3,134.3,100
2022-08-16 23:00:00,134.307,134.318,134.244,134.244,134.244,100
2022-08-16 23:15:00,134.247,134.338,134.244,134.33,134.33,100
2022-08-16 23:30:00,134.329,134.336,134.261,134.264,134.264,100
2022-08-16 23:45:00,134.264,134.315,134.248,134.297,134.297,100
2022-08-17 00:00:00,134.297,134.446,134.295,134.405,134.405,100
2022-08-17 00:15:00,134.401,134.442,134.315,134.363,134.363,100
2022-08-17 00:30:00,134.363,134.405,134.275,134.343,134.343,100
2022-08-17 00:45:00,134.342,134.366,134.127,134.147,134.147,100
2022-08-17 01:00:00,134.149,134.199,134.057,134.138,134.138,100
2022-08-17 01:15:00,134.14,134.187,134.064,134.118,134.118,100
2022-08-17 01:30:00,134.118,134.229,134.095,134.178,134.178,100
2022-08-17 01:45:00,134.178,134.22,134.011,134.035,134.035,100
2022-08-17 02:00:00,134.035,134.067,133.918,133.971,133.971,100
2022-08-17 02:15:00,133.97,134.09,133.968,134.088,134.088,100
2022-08-17 02:30:00,134.081,134.107,134.057,134.093,134.093,100
2022-08-17 02:45:00,134.094,134.164,134.082,134.162,134.162,100
2022-08-17 03:00:00,134.163,134.204,134.133,134.171,134.171,100
2022-08-17 03:15:00,134.173,134.224,134.158,134.2,134.2,100
2022-08-17 03:30:00,134.198,134.211,134.15,134.162,134.162,100
2022-08-17 03:45:00,134.16,134.189,134.113,134.15,134.15,100
2022-08-17 04:00:00,134.152,134.189,134.133,134.176,134.176,100
2022-08-17 04:15:00,134.176,134.196,134.149,134.152,134.152,100
2022-08-17 04:30:00,134.15,134.184,134.133,134.169,134.169,100
2022-08-17 04:45:00,134.169,134.182,134.122,134.165,134.165,100
2022-08-17 05:00:00,134.163,134.183,134.105,134.122,134.122,100
2022-08-17 05:15:00,134.124,134.146,134.096,134.114,134.114,100
2022-08-17 05:30:00,134.118,134.235,134.106,134.188,134.188,100
2022-08-17 05:45:00,134.188,134.208,134.155,134.174,134.174,100
2022-08-17 06:00:00,134.173,134.4,134.169,134.383,134.383,100
2022-08-17 06:15:00,134.383,134.546,134.383,134.508,134.508,100
2022-08-17 06:30:00,134.509,134.596,134.479,134.496,134.496,100
2022-08-17 06:45:00,134.496,134.526,134.41,134.429,134.429,100
2022-08-17 07:00:00,134.432,134.577,134.413,134.543,134.543,100
2022-08-17 07:15:00,134.542,134.833,134.52,134.75,134.75,100
2022-08-17 07:30:00,134.744,134.868,134.735,134.838,134.838,100
2022-08-17 07:45:00,134.835,134.845,134.782,134.805,134.805,100
2022-08-17 08:00:00,134.807,134.924,134.807,134.836,134.836,100
2022-08-17 08:15:00,134.836,134.855,134.735,134.787,134.787,100
2022-08-17 08:30:00,134.787,134.824,134.733,134.784,134.784,100
2022-08-17 08:45:00,134.784,134.871,134.765,134.823,134.823,100
2022-08-17 09:00:00,134.816,134.841,134.699,134.715,134.715,100
2022-08-17 09:15:00,134.717,134.736,134.658,134.727,134.727,100
2022-08-17 09:30:00,134.727,134.816,134.723,134.811,134.811,100
2022-08-17 09:45:00,134.811,134.867,134.776,134.8,134.8,100
2022-08-17 10:00:00,134.802,134.887,134.773,134.844,134.844,100
2022-08-17 10:15:00,134.843,134.864,134.795,134.861,134.861,100
2022-08-17 10:30:00,134.862,134.894,134.812,134.894,134.894,100
2022-08-17 10:45:00,134.892,134.988,134.861,134.975,134.975,100
2022-08-17 11:00:00,134.974,135.009,134.955,135.008,135.008,100
2022-08-17 11:15:00,135.009,135.192,135.006,135.175,135.175,100
