Time,Open,High,Low,adj_close,Close,Volume
2018-08-19 21:00:00,1.14395,1.14853,1.13946,1.14825,1.14825,38513
2018-08-20 21:00:00,1.14812,1.16015,1.1481,1.15707,1.15707,58070
2018-08-21 21:00:00,1.15712,1.1623,1.15532,1.15964,1.15964,49474
2018-08-22 21:00:00,1.15944,1.16002,1.15299,1.15416,1.15416,49313
2018-08-23 21:00:00,1.15375,1.16402,1.15346,1.1622,1.1622,52689
2018-08-26 21:00:00,1.16154,1.1694,1.15947,1.16783,1.16783,41573
2018-08-27 21:00:00,1.1679,1.17337,1.16623,1.16948,1.16948,46904
2018-08-28 21:00:00,1.1696,1.17098,1.16521,1.17074,1.17074,52113
2018-08-29 21:00:00,1.1706,1.17185,1.16416,1.16682,1.16682,51517
2018-08-30 21:00:00,1.16666,1.16912,1.15844,1.16019,1.16019,64060
2018-09-02 21:00:00,1.15982,1.16279,1.15894,1.16204,1.16204,34705
2018-09-03 21:00:00,1.16198,1.16214,1.15302,1.1583,1.1583,46399
2018-09-04 21:00:00,1.15806,1.1641,1.15432,1.16308,1.16308,55753
2018-09-05 21:00:00,1.16308,1.16594,1.16054,1.16234,1.16234,51070
2018-09-06 21:00:00,1.16216,1.16496,1.15505,1.15521,1.15521,62733
2018-09-09 21:00:00,1.15477,1.16164,1.1526,1.15938,1.15938,36646
2018-09-10 21:00:00,1.15952,1.1644,1.15656,1.16044,1.16044,41155
2018-09-11 21:00:00,1.16065,1.165,1.15702,1.1627,1.1627,45271
2018-09-12 21:00:00,1.16267,1.17012,1.1609,1.16901,1.16901,45321
2018-09-13 21:00:00,1.16901,1.17218,1.16207,1.1625,1.1625,43526
2018-09-16 21:00:00,1.1626,1.1698,1.16178,1.16838,1.16838,31421
2018-09-17 21:00:00,1.16851,1.17248,1.1652,1.16676,1.16676,50868
2018-09-18 21:00:00,1.16654,1.17152,1.165,1.16718,1.16718,44841
2018-09-19 21:00:00,1.16738,1.17846,1.16688,1.17776,1.17776,54279
2018-09-20 21:00:00,1.17776,1.1803,1.17331,1.17482,1.17482,48982
2018-09-23 21:00:00,1.17457,1.18151,1.1724,1.1747,1.1747,40595
2018-09-24 21:00:00,1.1749,1.17926,1.17308,1.17666,1.17666,41864
2018-09-25 21:00:00,1.1766,1.17976,1.17258,1.17409,1.17409,57517
2018-09-26 21:00:00,1.17386,1.17572,1.1639,1.1641,1.1641,61026
2018-09-27 21:00:00,1.1641,1.16514,1.15698,1.16027,1.16027,50533
2018-09-30 21:00:00,1.16182,1.16253,1.15634,1.1578,1.1578,41330
2018-10-01 21:00:00,1.15792,1.15808,1.15052,1.15493,1.15493,46326
2018-10-02 21:00:00,1.15496,1.1594,1.1464,1.14786,1.14786,63248
2018-10-03 21:00:00,1.14736,1.1543,1.14636,1.15141,1.15141,54718
2018-10-04 21:00:00,1.1516,1.15502,1.14838,1.15221,1.15221,58505
2018-10-07 21:00:00,1.15231,1.15298,1.146,1.14916,1.14916,37216
2018-10-08 21:00:00,1.14879,1.15035,1.14322,1.1492,1.1492,57076
2018-10-09 21:00:00,1.14904,1.15451,1.14798,1.1521,1.1521,55116
2018-10-10 21:00:00,1.15219,1.15996,1.15201,1.15936,1.15936,84171
2018-10-11 21:00:00,1.15873,1.16106,1.15344,1.15597,1.15597,54772
2018-10-14 21:00:00,1.15404,1.16064,1.15397,1.15788,1.15788,44618
2018-10-15 21:00:00,1.15795,1.16216,1.15658,1.15747,1.15747,44825
2018-10-16 21:00:00,1.15734,1.15802,1.14962,1.15,1.15,53878
2018-10-17 21:00:00,1.15014,1.15272,1.14496,1.14526,1.14526,59044
2018-10-18 21:00:00,1.14538,1.15348,1.14332,1.15142,1.15142,62675
2018-10-21 21:00:00,1.15164,1.15503,1.14558,1.14647,1.14647,47072
2018-10-22 21:00:00,1.14647,1.14898,1.14396,1.14721,1.14721,55514
2018-10-23 21:00:00,1.14728,1.1477,1.13786,1.13914,1.13914,64946
2018-10-24 21:00:00,1.13926,1.14328,1.13561,1.13748,1.13748,60657
2018-10-25 21:00:00,1.13741,1.14208,1.13357,1.14033,1.14033,62251
2018-10-28 21:00:00,1.13934,1.14165,1.13607,1.13732,1.13732,53323
2018-10-29 21:00:00,1.13732,1.13878,1.13404,1.13452,1.13452,47796
2018-10-30 21:00:00,1.13442,1.13604,1.1302,1.13117,1.13117,56138
2018-10-31 21:00:00,1.13114,1.14244,1.13078,1.14088,1.14088,58126
2018-11-01 21:00:00,1.14078,1.14562,1.1372,1.13875,1.13875,66612
2018-11-04 22:00:00,1.13883,1.14242,1.13534,1.14066,1.14066,45338
2018-11-05 22:00:00,1.14062,1.14381,1.13916,1.14268,1.14268,43197
2018-11-06 22:00:00,1.1427,1.15004,1.13951,1.14254,1.14254,84820
2018-11-07 22:00:00,1.14266,1.1447,1.13515,1.13631,1.13631,60403
2018-11-08 22:00:00,1.13643,1.13694,1.1316,1.13371,1.13371,58738
2018-11-11 22:00:00,1.13232,1.13314,1.12155,1.12173,1.12173,56937
2018-11-12 22:00:00,1.12184,1.1294,1.12164,1.12907,1.12907,66773
2018-11-13 22:00:00,1.12898,1.1348,1.12632,1.13094,1.13094,88609
2018-11-14 22:00:00,1.13084,1.13627,1.12706,1.13288,1.13288,88462
2018-11-15 22:00:00,1.13248,1.14207,1.13216,1.14184,1.14184,63116
